timestamp,player,amount,new_balance,reason
2025-03-22 00:13:07,Bank,400,,Created Rue de la Paix
2025-03-22 00:13:07,Bank,350,,Created Avenue des Champs-Élysées
2025-03-22 00:13:07,Bank,320,,Created Boulevard de la Villette
2025-03-22 00:13:07,Bank,300,,Created Avenue de Neuilly
2025-03-22 00:13:07,Bank,280,,Created Rue de Paradis
2025-03-22 00:13:07,Bank,260,,Created Avenue Mozart
2025-03-22 00:13:07,Bank,240,,Created Boulevard Saint-Michel
2025-03-22 00:13:07,Bank,220,,Created Place Pigalle
2025-03-22 00:13:07,Bank,200,,Created Avenue de Breteuil
2025-03-22 00:13:07,Bank,180,,Created Avenue Foch
2025-03-22 00:13:07,Bank,160,,Created Boulevard des Capucines
2025-03-22 00:13:07,Bank,140,,Created Avenue des Ternes
2025-03-22 00:13:07,Bank,120,,Created Rue de la Fayette
2025-03-22 00:13:07,Bank,100,,Created Rue de Courcelles
2025-03-22 00:13:07,Bank,100,,Created Avenue de Wagram
2025-03-22 00:13:07,Bank,80,,Created Rue de Vaugirard
2025-03-22 00:13:07,Bank,60,,Created Rue de Rivoli
2025-03-22 00:13:07,Bank,60,,Created Boulevard de Belleville
2025-03-22 00:13:07,Bank,60,,Created Rue Lecourbe
2025-03-22 00:13:07,Bank,60,,Created Rue de Vaugirard
2025-03-22 00:13:07,Bank,60,,Created Avenue Henri-Martin
2025-03-22 00:13:07,Bank,200,,Created Gare Montparnasse
2025-03-22 00:13:07,Bank,200,,Created Gare de Lyon
2025-03-22 00:13:07,Bank,200,,Created Gare du Nord
2025-03-22 00:13:07,Bank,200,,Created Gare Saint-Lazare
2025-03-22 00:13:07,Bank,150,,Created Compagnie de distribution d'eau
2025-03-22 00:13:07,Bank,150,,Created Compagnie de distribution d'électricité
2025-03-22 00:13:16,a,0,1500,Player created
2025-03-22 00:13:19,b,0,1500,Player created
2025-03-22 00:13:21,c,0,1500,Player created
2025-03-22 00:13:31,a,-100,1400,Loaned to b
2025-03-22 00:13:31,b,100,1600,Loan from a
2025-03-22 00:21:19,b,200,1800,Loan from Bank
2025-03-22 00:23:47,b,-100,1700,Transferred to a
2025-03-22 00:23:47,a,100,1500,Received from b
2025-03-22 00:23:50,b,-100,1600,Repayment to a
2025-03-22 00:23:50,a,100,1600,Repayment from b
